Row	Precision	Recall	F1
251	0.5556	0.3509	0.4301
252	0.4348	0.4348	0.4348
253	0.3548	0.3438	0.3492
254	0.2400	0.2553	0.2474
255	0.9630	0.7027	0.8125
256	0.6250	0.4348	0.5128
257	0.6341	0.3611	0.4602
258	0.4500	0.3913	0.4186
259	0.4865	0.3214	0.3871
260	0.4375	0.3415	0.3836
261	1.0000	1.0000	1.0000
262	0.3947	0.3000	0.3409
263	0.5641	0.4000	0.4681
264	0.9107	0.6538	0.7612
265	0.2857	0.2264	0.2526
266	0.5306	0.2889	0.3741
267	1.0000	1.0000	1.0000
268	0.4762	0.4545	0.4651
269	0.2558	0.2619	0.2588
270	0.5283	0.4912	0.5091
271	0.4364	0.2824	0.3429
272	0.3571	0.3000	0.3261
273	0.5000	0.5000	0.5000
274	0.1429	0.2143	0.1714
275	0.2857	0.2817	0.2837
276	0.7143	0.5000	0.5882
277	0.4375	0.2692	0.3333
278	0.7656	0.6622	0.7101
279	0.3443	0.3684	0.3559
280	0.5814	0.4310	0.4950
281	0.5789	0.4583	0.5116
282	0.6111	0.4889	0.5432
283	0.3704	0.2041	0.2632
284	0.6200	0.5167	0.5636
285	0.8286	0.7436	0.7838
286	0.4048	0.2152	0.2810
287	0.2321	0.2889	0.2574
288	0.4138	0.3529	0.3810
289	0.4286	0.3158	0.3636
290	0.3889	0.2333	0.2917
291	0.2857	0.3243	0.3038
292	0.1429	0.0690	0.0930
293	0.3478	0.3556	0.3516
294	0.5217	0.2609	0.3478
295	0.4848	0.3077	0.3765
296	1.0000	1.0000	1.0000
297	0.6923	0.4821	0.5684
298	1.0000	0.0351	0.0678
299	0.3188	0.3235	0.3212
300	0.3768	0.4561	0.4127
301	0.3529	0.3077	0.3288
302	0.6000	0.4118	0.4884
303	0.9189	0.6296	0.7473
304	0.3784	0.4667	0.4179
305	0.5161	0.4384	0.4741
306	0.4286	0.2500	0.3158
307	0.7627	0.5921	0.6667
308	0.7042	0.5102	0.5917
309	0.3958	0.3276	0.3585
310	0.5366	0.2933	0.3793
311	0.5000	0.6667	0.5714
312	0.4545	0.1875	0.2655
313	0.6316	0.5000	0.5581
314	0.9184	0.6250	0.7438
315	0.6154	0.3404	0.4384
316	0.5000	0.1628	0.2456
317	0.3934	0.3871	0.3902
318	0.4000	0.2169	0.2812
319	0.5273	0.3537	0.4234
320	0.5217	0.3243	0.4000
321	0.3590	0.2456	0.2917
322	0.2308	0.2093	0.2195
323	0.4762	0.3797	0.4225
324	0.5862	0.2931	0.3908
325	0.2619	0.2157	0.2366
326	0.0000	0.0000	0.0000
327	0.4510	0.4340	0.4423
328	0.5000	0.6000	0.5455
329	0.5172	0.3125	0.3896
330	0.4103	0.3265	0.3636
331	0.2308	0.0857	0.1250
332	0.3929	0.3438	0.3667
333	0.0500	0.0667	0.0571
334	0.3000	0.2308	0.2609
335	0.3636	0.5000	0.4211
336	0.2963	0.3750	0.3310
337	0.3243	0.3077	0.3158
338	0.3472	0.3165	0.3311
339	0.4250	0.2982	0.3505
340	0.6792	0.5070	0.5806
341	0.2917	0.2857	0.2887
342	0.4286	0.3396	0.3789
343	0.3929	0.3667	0.3793
344	0.2703	0.2439	0.2564
345	0.1818	0.2000	0.1905
346	0.5250	0.3500	0.4200
347	0.5333	0.1951	0.2857
348	0.4167	0.2941	0.3448
349	0.5571	0.4937	0.5235
350	0.7931	0.3833	0.5169
351	0.3235	0.3492	0.3359
352	0.3654	0.3276	0.3455
353	0.6735	0.3793	0.4853
354	0.5758	0.4318	0.4935
355	0.4894	0.4894	0.4894
356	0.4048	0.4595	0.4304
