Row	Precision	Recall	F1
255	0.3562	0.3939	0.3741
256	0.5231	0.4722	0.4964
257	0.2911	0.3651	0.3239
258	0.4615	0.3797	0.4167
259	0.2267	0.2982	0.2576
260	0.3393	0.3585	0.3486
261	0.4138	0.3750	0.3934
262	0.4565	0.3818	0.4158
263	0.3333	0.4490	0.3826
264	1.0000	1.0000	1.0000
265	0.6316	0.6154	0.6234
266	0.5147	0.5072	0.5109
267	0.4000	0.3509	0.3738
268	0.6098	0.4310	0.5051
269	0.4468	0.4565	0.4516
270	0.4231	0.3667	0.3929
271	0.4681	0.5000	0.4835
272	0.3846	0.4098	0.3968
273	0.5641	0.5366	0.5500
274	0.5733	0.5443	0.5584
275	0.3065	0.2468	0.2734
276	0.3580	0.3867	0.3718
277	0.5250	0.5676	0.5455
278	0.3028	0.4925	0.3750
279	0.3936	0.4625	0.4253
280	0.3768	0.3768	0.3768
281	0.3000	0.3333	0.3158
282	0.6000	0.6818	0.6383
283	0.6620	0.5802	0.6184
284	0.3103	0.3158	0.3130
285	0.2895	0.1897	0.2292
286	0.5349	0.5610	0.5476
287	0.3333	0.2692	0.2979
288	0.2632	0.2206	0.2400
289	0.3962	0.4375	0.4158
290	0.4565	0.4286	0.4421
291	0.5085	0.5660	0.5357
292	0.4423	0.3898	0.4144
293	0.4605	0.5645	0.5072
294	0.5283	0.5833	0.5545
295	0.2703	0.1667	0.2062
296	0.4000	0.5000	0.4444
297	0.6500	0.5306	0.5843
298	0.2911	0.3194	0.3046
299	0.4340	0.3538	0.3898
300	0.3860	0.4231	0.4037
301	0.4848	0.4324	0.4571
302	0.5965	0.4658	0.5231
303	0.4362	0.6406	0.5190
304	0.4595	0.4359	0.4474
305	0.3214	0.3673	0.3429
306	0.4444	0.4545	0.4494
307	0.4800	0.4706	0.4752
308	0.6552	0.3958	0.4935
309	0.4737	0.5400	0.5047
310	0.4286	0.4286	0.4286
311	0.3500	0.3559	0.3529
312	0.6071	0.5484	0.5763
313	0.2222	0.2667	0.2424
314	0.5000	0.4776	0.4885
315	0.1837	0.1667	0.1748
316	0.2716	0.3333	0.2993
317	0.4348	0.3636	0.3960
318	0.5250	0.4667	0.4941
319	0.5294	0.3830	0.4444
320	0.3000	0.3429	0.3200
321	0.3617	0.3269	0.3434
322	0.4167	0.1887	0.2597
323	0.6250	0.4615	0.5310
324	0.3922	0.4651	0.4255
325	0.3818	0.4468	0.4118
326	0.2778	0.2632	0.2703
327	0.5143	0.3673	0.4286
328	0.2469	0.2632	0.2548
329	0.4286	0.2791	0.3380
330	0.4211	0.4444	0.4324
331	0.6197	0.5570	0.5867
332	0.3830	0.3750	0.3789
333	0.3750	0.4154	0.3942
334	0.3247	0.3425	0.3333
335	0.3231	0.3231	0.3231
336	0.3488	0.2679	0.3030
337	0.4054	0.5357	0.4615
338	0.4118	0.4884	0.4468
339	0.4706	0.5714	0.5161
340	0.5000	0.4225	0.4580
341	0.6087	0.4516	0.5185
342	0.2857	0.4103	0.3368
343	0.5333	0.2807	0.3678
344	0.2632	0.3333	0.2941
345	0.3382	0.3538	0.3459
346	0.3455	0.4318	0.3838
347	0.6316	0.6545	0.6429
348	0.6216	0.5897	0.6053
349	0.2340	0.2558	0.2444
350	0.4746	0.5714	0.5185
351	0.4783	0.4783	0.4783
352	0.5263	0.5357	0.5310
353	0.3404	0.3019	0.3200
354	0.2667	0.2162	0.2388
355	0.5119	0.5658	0.5375
356	0.9412	0.8889	0.9143
Media F1: 0.4182133348011927
