Row	Precision	Recall	F1
270	0.4035	0.4035	0.4035
271	0.4091	0.3176	0.3576
272	0.3500	0.2800	0.3111
273	0.5429	0.5278	0.5352
274	0.0750	0.1071	0.0882
275	0.4643	0.3662	0.4094
276	0.0000	0.0000	0.0000
277	0.4634	0.3654	0.4086
278	0.5588	0.5135	0.5352
279	0.4310	0.4386	0.4348
280	0.5909	0.4483	0.5098
281	0.4737	0.7500	0.5806
282	0.6316	0.5333	0.5783
283	0.4643	0.2653	0.3377
284	0.9250	0.6167	0.7400
285	0.9143	0.8205	0.8649
286	0.9054	0.8481	0.8758
287	0.4130	0.4222	0.4176
288	0.4643	0.3824	0.4194
289	0.2679	0.3947	0.3191
290	0.4474	0.2833	0.3469
291	0.3000	0.3243	0.3117
292	0.3529	0.4138	0.3810
293	0.4231	0.2444	0.3099
294	0.5909	0.2826	0.3824
295	0.4643	0.2500	0.3250
296	1.0000	1.0000	1.0000
297	0.6222	0.5000	0.5545
298	0.2632	0.0877	0.1316
299	0.4444	0.4706	0.4571
300	0.3636	0.4211	0.3902
301	0.7500	0.6154	0.6761
302	0.4583	0.4314	0.4444
303	0.7600	0.7037	0.7308
304	0.3636	0.5333	0.4324
305	0.5000	0.4384	0.4672
306	0.3014	0.3056	0.3034
307	0.6923	0.5921	0.6383
308	0.7222	0.5306	0.6118
309	0.4643	0.4483	0.4561
310	0.7042	0.6667	0.6849
311	0.8333	0.8333	0.8333
312	0.5763	0.4250	0.4892
313	0.3333	0.4167	0.3704
314	0.5714	0.5556	0.5634
315	0.5882	0.4255	0.4938
316	0.2162	0.1860	0.2000
317	0.3971	0.4355	0.4154
318	0.3939	0.3133	0.3490
319	0.5968	0.4512	0.5139
320	0.5294	0.4865	0.5070
321	0.4375	0.3684	0.4000
322	0.4667	0.3256	0.3836
323	0.3667	0.4177	0.3905
324	0.3800	0.3276	0.3519
325	0.2917	0.2745	0.2828
326	0.4667	0.3889	0.4242
327	0.4107	0.4340	0.4220
328	0.9583	0.9200	0.9388
329	0.5000	0.4167	0.4545
330	0.4865	0.3673	0.4186
331	0.4643	0.3714	0.4127
332	0.4865	0.5625	0.5217
333	0.0909	0.2000	0.1250
334	0.2903	0.3462	0.3158
335	0.4167	0.4167	0.4167
336	0.2727	0.3281	0.2979
337	0.4318	0.4872	0.4578
338	0.4658	0.4304	0.4474
339	0.2830	0.2632	0.2727
340	0.4154	0.3803	0.3971
341	0.4681	0.4490	0.4583
342	0.6176	0.3962	0.4828
343	0.2857	0.3333	0.3077
344	0.4444	0.3902	0.4156
345	0.2812	0.3000	0.2903
346	0.4423	0.3833	0.4107
347	0.6786	0.4634	0.5507
348	0.8214	0.9020	0.8598
349	0.4118	0.3544	0.3810
350	0.4902	0.4167	0.4505
351	0.4237	0.3968	0.4098
352	0.3659	0.2586	0.3030
353	0.6094	0.4483	0.5166
354	0.5641	0.5000	0.5301
355	0.3396	0.3830	0.3600
356	1.0000	1.0000	1.0000
