Row	Precision	Recall	F1
255	0.2245	0.2973	0.2558
256	0.3111	0.3043	0.3077
257	0.4000	0.2500	0.3077
258	0.2857	0.2174	0.2469
259	0.3704	0.1786	0.2410
260	0.3929	0.2683	0.3188
261	0.7857	0.7333	0.7586
262	0.3226	0.2000	0.2469
263	0.3704	0.1818	0.2439
264	0.5833	0.3590	0.4444
265	0.2558	0.2075	0.2292
266	0.2609	0.1333	0.1765
267	0.0000	0.0000	0.0000
268	0.2500	0.1364	0.1765
269	0.4483	0.3095	0.3662
270	0.4130	0.3333	0.3689
271	0.3146	0.3294	0.3218
272	0.4595	0.3400	0.3908
273	0.3889	0.1944	0.2593
274	0.2703	0.3571	0.3077
275	0.2319	0.2254	0.2286
276	0.0000	0.0000	0.0000
277	0.3514	0.2500	0.2921
278	0.5333	0.3243	0.4034
279	0.3261	0.2632	0.2913
280	0.5333	0.2759	0.3636
281	0.5000	0.4167	0.4545
282	0.7188	0.5111	0.5974
283	0.4737	0.1837	0.2647
284	0.3571	0.0833	0.1351
285	0.5312	0.4359	0.4789
286	0.4000	0.1772	0.2456
287	0.1875	0.2000	0.1935
288	0.2286	0.2353	0.2319
289	0.2571	0.2368	0.2466
290	0.3333	0.1667	0.2222
291	0.2286	0.2162	0.2222
292	0.1111	0.1724	0.1351
293	0.2581	0.1778	0.2105
294	0.3929	0.2391	0.2973
295	0.4167	0.2885	0.3409
296	0.2286	0.5714	0.3265
297	0.3556	0.2857	0.3168
298	0.4286	0.0526	0.0938
299	0.3800	0.2794	0.3220
300	0.4857	0.2982	0.3696
301	0.3750	0.2308	0.2857
302	0.4722	0.3333	0.3908
303	0.5227	0.4259	0.4694
304	0.2759	0.2667	0.2712
305	0.4318	0.2603	0.3248
306	0.5938	0.2639	0.3654
307	0.3968	0.3289	0.3597
308	0.6667	0.3878	0.4903
309	0.2553	0.2069	0.2286
310	0.3429	0.1600	0.2182
311	0.5000	0.6667	0.5714
312	0.3333	0.1750	0.2295
313	0.2895	0.2292	0.2558
314	0.5429	0.2639	0.3551
315	0.3103	0.1915	0.2368
316	0.1500	0.2093	0.1748
317	0.2444	0.1774	0.2056
318	0.4773	0.2530	0.3307
319	0.3488	0.1829	0.2400
320	0.2000	0.1892	0.1944
321	0.2093	0.1579	0.1800
322	0.2000	0.1395	0.1644
323	0.2083	0.1266	0.1575
324	0.3556	0.2759	0.3107
325	0.2105	0.2353	0.2222
326	1.0000	0.2778	0.4348
327	0.3143	0.2075	0.2500
328	0.2619	0.4400	0.3284
329	0.3556	0.3333	0.3441
330	0.5000	0.2041	0.2899
331	0.0000	0.0000	0.0000
332	0.3333	0.2812	0.3051
333	0.0000	0.0000	0.0000
334	0.2222	0.2308	0.2264
335	0.1429	0.0833	0.1053
336	0.3958	0.2969	0.3393
337	0.2667	0.3077	0.2857
338	0.2353	0.1013	0.1416
339	0.1714	0.1053	0.1304
340	0.3830	0.2535	0.3051
341	0.2927	0.2449	0.2667
342	0.2571	0.1698	0.2045
343	0.2195	0.3000	0.2535
344	0.2326	0.2439	0.2381
345	0.1351	0.1667	0.1493
346	0.5000	0.2333	0.3182
347	0.3929	0.2683	0.3188
348	0.4211	0.1569	0.2286
349	0.3182	0.2658	0.2897
350	0.4324	0.2667	0.3299
351	0.2979	0.2222	0.2545
352	0.3111	0.2414	0.2718
353	0.6667	0.2069	0.3158
354	0.3488	0.3409	0.3448
355	0.2927	0.2553	0.2727
356	0.3929	0.2973	0.3385
